Actions #,Coût par action (en euros),Bénéfice (après 2 ans)
Action-1,20,5%
Action-2,30,10%
Action-3,50,15%
Action-4,70,20%
Action-5,60,17%
Action-6,80,25%
Action-7,22,7%
Action-8,26,11%
Action-9,48,13%
Action-10,34,27%
Action-11,42,17%
Action-12,110,9%
Action-13,38,23%
Action-14,14,1%
Action-15,18,3%
Action-16,8,8%
Action-17,4,12%
Action-18,10,14%
Action-19,24,21%
Action-20,114,18%
Action-21,25,6%
Action-22,35,12%
Action-23,45,16%
Action-24,65,19%
Action-25,55,14%
Action-26,85,26%
Action-27,28,8%
Action-28,32,13%
Action-29,52,15%
Action-30,40,28%
Action-31,46,18%
Action-32,120,10%
Action-33,44,24%
Action-34,16,2%
Action-35,20,4%
Action-36,12,9%
Action-37,6,13%
Action-38,15,15%
Action-39,28,22%
Action-40,125,19%
Action-41,33,11%
Action-42,41,17%
Action-43,59,21%
Action-44,73,23%
Action-45,67,20%
Action-46,89,29%
Action-47,31,9%
Action-48,37,14%
Action-49,53,18%
Action-50,43,30%
Action-51,49,19%
Action-52,115,11%
Action-53,47,25%
Action-54,19,3%
Action-55,23,5%
Action-56,13,10%
Action-57,7,14%
Action-58,17,16%
Action-59,29,23%
Action-60,130,20%
Action-61,36,12%
Action-62,44,18%
Action-63,62,22%
Action-64,76,24%
Action-65,70,21%
Action-66,92,30%
Action-67,34,10%
Action-68,39,15%
Action-69,56,19%
Action-70,46,31%
Action-71,51,20%
Action-72,118,12%
Action-73,50,26%
Action-74,21,4%
Action-75,26,6%
Action-76,15,11%
Action-77,9,15%
Action-78,19,17%
Action-79,31,24%
Action-80,135,21%
Action-81,38,13%
Action-82,47,19%
Action-83,65,23%
Action-84,79,25%
Action-85,73,22%
Action-86,95,31%
Action-87,37,11%
Action-88,42,16%
Action-89,59,20%
Action-90,49,32%
Action-91,54,21%
Action-92,122,13%
Action-93,53,27%
Action-94,24,5%
Action-95,29,7%
Action-96,18,12%
Action-97,11,16%
Action-98,22,18%
Action-99,33,25%
Action-100,140,22%
Action-101,41,14%
Action-102,50,20%
Action-103,68,24%
Action-104,82,26%
Action-105,76,23%
Action-106,98,32%
Action-107,40,12%
Action-108,45,17%
Action-109,62,21%
Action-110,52,33%
Action-111,57,22%
Action-112,125,14%
Action-113,56,28%
Action-114,27,6%
Action-115,32,8%
Action-116,21,13%
Action-117,14,17%
Action-118,25,19%
Action-119,36,26%
Action-120,145,23%
